mountainNum,지점명,위도,경도,고도
107,소백산(정상),36.9574,128.4844,1440
108,소백산(관리사무소),36.960144,128.427372,439
109,청량산(정상),36.794167,128.908333,870
110,문경새재(정상),36.182778,128.057778,730
111,금오산(정상),36.0916,128.2998,977
112,팔공산(정상),36.016389,128.695,1193
113,비슬산(정상),35.7156,128.5243,1083
114,운문산(정상),35.615556,128.959167,1188
115,성인봉(정상),37.498056,130.867778,984
116,백암산(정상),36.713889,129.305278,1004
117,토함산(정상),35.755833,129.3725,745
118,한라산(정상),33.360983,126.535581,1950
120,백운산(포천),38.0749,127.4443,903
121,화악산(중봉),37.9896,127.498416,1446.1
122,감악산,37.9413,126.9697,675
123,축령산,37.7526,127.3339,887
124,유명산,37.5754,127.4868,864
125,관악산,37.444469,126.963897,632.2
126,황석산,35.6552,127.7554,1193
127,재약산,35.545321,128.980166,1078
128,천성산,35.401319,129.106255,915
129,지리산(사량도),34.846,128.1853,399
130,미륵산,34.8104,128.4161,458
131,금산,34.7531,127.9804,705
132,방장산,35.448167,126.759916,621
133,추월산,35.4001,126.9763,731
134,깃대봉,34.6971,125.2042,305
135,대암산,38.211,128.1348,1313
136,명성산,38.1043,127.338,922
137,점봉산,38.0487,128.4254,1426.0
138,용화산,38.0382,127.7473,878.0
139,오봉산,38.0006,127.8041,778.0
140,방태산,37.8883,128.39,1446.0
141,가리산,37.8711,127.9564,990.0
142,계방산,37.7283,128.4659,1579.0
143,공작산,37.7152,128.0101,833.0
144,백덕산,37.3965,128.2936,1350.0
145,덕항산,37.3087,129.0125,1073.0
146,백운산(정선),37.2801,128.5961,884.0
147,태화산,37.1175,128.4852,1028.0
148,응봉산,37.0765,129.2302,1000.0
149,덕숭산(수덕산),36.6715,126.624,495.0
150,서대산,36.2207,127.5383,905.0
151,황장산,36.8125,128.278,1079.0
152,주흘산,36.7883,128.1009,1108.0
153,희양산,36.7148,128.0046,996.0
154,대야산,36.669,127.9294,931.0
155,구병산,36.4695,127.862,825.0
156,내연산,36.2789,129.2894,711.0
157,황악산,36.1183,127.9663,1111.0
158,남산(고위봉),35.76819,129.225521,494.0
159,적상산(향로봉),35.956612,127.68701,1010.0
160,운장산,35.9114,127.3576,1126.0
161,변산(관음봉),35.623104,126.582626,424.0
162,백암산,35.4607,126.8688,741.0
163,금수산,36.9848,128.2567,1016.0
164,도락산,36.8564,128.3111,965.0
165,천태산,36.1592,127.5999,714.0
